Categorie,Actif,Criticite,Vulnerabilite,Exposition,Disponibilite,Sensibilite_donnees,Interdependance
Humain,Agent territorial #1,2,3,5,2,2,3
Humain,Cadre stratégique #2,4,5,4,5,3,5
Technologique,Réseau LAN #3,3,2,4,2,1,4
Technologique,Poste critique #4,2,4,1,2,3,3
Humain,Administrateur réseau #5,5,4,4,5,3,4
Humain,Agent territorial #6,5,1,3,2,3,5
Informationnel,Base état civil #7,5,1,4,3,2,2
Informationnel,Base état civil #8,2,2,4,5,4,4
Informationnel,Casier judiciaire #9,3,1,4,3,4,2
Technologique,Poste critique #10,3,2,4,3,5,2
Technologique,Réseau LAN #11,3,2,4,3,4,1
Technologique,Application métier #12,5,5,2,4,5,2
Informationnel,Archives numériques #13,5,4,5,2,5,5
Informationnel,Base données identité #14,4,1,1,5,3,3
Informationnel,Casier judiciaire #15,4,1,3,2,2,2
Informationnel,Archives numériques #16,4,1,4,3,1,5
Humain,Agent territorial #17,5,3,3,2,3,5
Humain,Cadre stratégique #18,2,5,2,4,3,1
Humain,Administrateur réseau #19,3,4,5,4,1,4
Informationnel,Archives numériques #20,3,5,5,4,3,5
Organisationnel,Plan de réponse incident #21,5,3,3,3,4,2
Technologique,Application métier #22,3,1,5,3,4,4
Organisationnel,Plan de continuité #23,5,3,2,4,4,1
Humain,Administrateur système #24,2,1,3,3,1,4
Informationnel,Base données identité #25,4,3,1,3,5,1
Humain,Administrateur réseau #26,5,3,1,5,1,1
Technologique,Réseau LAN #27,5,2,3,2,5,1
Organisationnel,Procédure opérationnelle #28,4,1,2,3,4,5
Organisationnel,Procédure opérationnelle #29,2,3,2,2,4,2
Organisationnel,Plan de continuité #30,4,3,3,2,5,4
Technologique,Poste critique #31,3,3,1,2,4,3
Technologique,Application métier #32,4,4,4,4,4,3
Technologique,Réseau WAN #33,4,3,4,5,4,1
Informationnel,Base état civil #34,5,1,3,5,1,1
Technologique,Poste critique #35,3,3,4,5,2,1
Organisationnel,Plan de continuité #36,2,2,1,5,4,5
Informationnel,Casier judiciaire #37,4,1,1,4,3,3
Organisationnel,Procédure opérationnelle #38,5,4,3,2,4,4
Technologique,Réseau WAN #39,5,1,3,2,5,2
Organisationnel,Politique sécurité #40,3,3,5,2,4,1
Organisationnel,Procédure opérationnelle #41,3,5,4,5,3,1
Organisationnel,Procédure opérationnelle #42,5,4,3,4,5,3
Technologique,Réseau WAN #43,4,2,5,3,1,4
Humain,Administrateur système #44,2,4,5,5,3,4
Humain,Administrateur système #45,5,1,4,5,5,5
Technologique,Réseau WAN #46,5,1,5,5,5,1
Technologique,Application métier #47,4,3,4,2,4,5
Informationnel,Base données identité #48,5,3,2,2,2,2
Humain,Administrateur réseau #49,5,2,3,3,2,2
Informationnel,Base données identité #50,2,3,5,3,2,3
Technologique,Serveur central #51,5,5,4,3,1,4
Informationnel,Archives numériques #52,2,4,3,4,4,2
Technologique,Poste critique #53,4,1,2,4,5,2
Technologique,Poste critique #54,2,4,2,3,3,4
Informationnel,Base données identité #55,5,5,4,5,4,5
Humain,Agent territorial #56,3,5,4,3,3,4
Organisationnel,Plan de réponse incident #57,3,4,2,3,3,1
Organisationnel,Processus décisionnel #58,5,2,2,2,2,5
Technologique,Serveur central #59,5,5,1,3,2,1
Humain,Administrateur réseau #60,5,1,5,2,1,5
Humain,Opérateur SOC #61,3,5,3,5,2,3
Informationnel,Base données identité #62,2,4,5,4,1,4
Informationnel,Archives numériques #63,5,2,2,5,5,4
Informationnel,Logs sécuritaires #64,4,2,2,3,5,4
Technologique,Réseau LAN #65,4,2,2,4,2,1
Organisationnel,Plan de réponse incident #66,2,4,2,2,4,3
Organisationnel,Plan de continuité #67,3,3,4,2,1,5
Humain,Cadre stratégique #68,2,4,3,2,1,2
Humain,Agent territorial #69,2,5,4,4,2,5
Humain,Administrateur réseau #70,4,1,2,5,5,2
Technologique,Serveur territorial #71,3,2,3,2,4,2
Informationnel,Base état civil #72,2,3,5,5,4,1
Informationnel,Logs sécuritaires #73,2,4,2,2,1,3
Informationnel,Casier judiciaire #74,5,4,2,2,5,4
Informationnel,Logs sécuritaires #75,4,1,3,2,1,1
Technologique,Réseau LAN #76,5,1,5,4,3,1
Organisationnel,Plan de continuité #77,2,1,3,5,1,4
Technologique,Réseau LAN #78,4,2,5,2,3,4
Informationnel,Archives numériques #79,4,5,4,2,1,5
Informationnel,Base état civil #80,3,2,5,4,5,3
Humain,Administrateur réseau #81,4,4,1,3,2,4
Informationnel,Logs sécuritaires #82,3,5,2,2,2,3
Technologique,Serveur territorial #83,2,5,5,3,3,5
Informationnel,Archives numériques #84,2,1,5,5,4,4
Humain,Cadre stratégique #85,2,4,3,3,2,3
Humain,Cadre stratégique #86,2,5,2,5,2,4
Organisationnel,Plan de réponse incident #87,4,1,1,4,5,4
Technologique,Serveur central #88,4,4,1,2,1,5
Technologique,Serveur territorial #89,5,5,5,2,5,5
Humain,Agent territorial #90,2,4,3,4,4,1
Technologique,Serveur central #91,2,1,5,3,3,1
Humain,Agent territorial #92,3,4,4,2,2,4
Organisationnel,Politique sécurité #93,5,2,4,3,4,4
Informationnel,Base données identité #94,5,3,1,2,1,5
Organisationnel,Plan de réponse incident #95,5,5,5,3,3,5
Technologique,Serveur territorial #96,4,5,1,3,2,2
Humain,Opérateur SOC #97,2,1,1,3,1,3
Informationnel,Base état civil #98,4,1,3,4,1,5
Informationnel,Base état civil #99,2,3,1,2,4,1
Informationnel,Logs sécuritaires #100,3,3,5,4,5,5
Informationnel,Base état civil #101,3,3,1,2,1,1
Humain,Opérateur SOC #102,2,4,1,2,2,4
Humain,Administrateur réseau #103,3,2,3,4,2,4
Informationnel,Archives numériques #104,2,3,1,2,5,5
Technologique,Serveur territorial #105,4,3,4,3,2,2
Technologique,Poste critique #106,4,3,3,4,2,4
Informationnel,Base données identité #107,5,4,2,4,1,5
Informationnel,Archives numériques #108,3,1,2,2,4,4
Organisationnel,Plan de réponse incident #109,3,5,2,2,3,3
Organisationnel,Processus décisionnel #110,4,1,3,3,4,4
Organisationnel,Procédure opérationnelle #111,4,3,3,2,2,5
Technologique,Réseau WAN #112,4,5,5,3,4,2
Informationnel,Logs sécuritaires #113,3,1,5,2,4,2
Technologique,Serveur territorial #114,2,2,5,4,1,2
Informationnel,Base données identité #115,3,3,5,2,2,4
Informationnel,Base données identité #116,4,5,4,4,2,4
Humain,Administrateur réseau #117,2,2,3,5,3,3
Humain,Cadre stratégique #118,4,4,5,3,2,3
Humain,Administrateur système #119,4,5,4,3,1,1
Humain,Administrateur réseau #120,3,4,1,2,5,4
Informationnel,Archives numériques #121,3,3,1,2,2,4
Humain,Administrateur réseau #122,4,1,4,4,2,1
Informationnel,Archives numériques #123,3,2,3,5,3,5
Technologique,Application métier #124,2,1,5,3,5,4
Technologique,Réseau WAN #125,3,1,3,4,5,4
Organisationnel,Politique sécurité #126,5,4,3,5,1,3
Technologique,Serveur central #127,3,3,2,4,5,4
Informationnel,Base état civil #128,3,4,3,5,1,4
Informationnel,Archives numériques #129,4,1,2,3,5,3
Humain,Agent territorial #130,2,3,3,2,2,2
Informationnel,Base état civil #131,5,2,5,5,2,4
Informationnel,Logs sécuritaires #132,2,1,1,4,3,1
Informationnel,Archives numériques #133,5,2,5,5,3,1
Technologique,Réseau LAN #134,4,3,1,5,4,5
Organisationnel,Processus décisionnel #135,2,5,4,3,3,5
Informationnel,Logs sécuritaires #136,4,3,2,3,4,1
Informationnel,Base état civil #137,2,2,3,2,1,1
Informationnel,Base données identité #138,2,2,5,5,3,3
Technologique,Poste critique #139,4,3,2,5,4,5
Informationnel,Archives numériques #140,3,3,4,2,1,1
Informationnel,Logs sécuritaires #141,4,1,4,3,2,2
Informationnel,Casier judiciaire #142,3,1,5,4,4,5
Organisationnel,Plan de continuité #143,5,5,5,2,4,4
Informationnel,Base état civil #144,4,3,3,5,4,2
Humain,Cadre stratégique #145,2,4,3,3,2,2
Technologique,Réseau WAN #146,5,2,5,5,2,1
Informationnel,Archives numériques #147,4,4,4,5,4,5
Organisationnel,Plan de réponse incident #148,5,2,1,5,2,1
Technologique,Réseau WAN #149,2,1,3,4,1,5
Informationnel,Base état civil #150,3,4,1,2,3,5
Humain,Administrateur système #151,2,1,2,5,1,5
Technologique,Serveur central #152,4,4,1,3,3,2
Humain,Administrateur réseau #153,4,2,3,2,3,3
Organisationnel,Processus décisionnel #154,4,1,4,3,5,1
Informationnel,Logs sécuritaires #155,4,3,2,5,2,5
Informationnel,Base données identité #156,5,1,1,5,4,5
Organisationnel,Procédure opérationnelle #157,4,1,5,3,3,3
Organisationnel,Processus décisionnel #158,3,5,1,2,5,3
Technologique,Serveur central #159,3,3,2,3,4,1
Technologique,Poste critique #160,3,3,4,2,5,3
Organisationnel,Politique sécurité #161,3,3,2,5,1,4
Organisationnel,Politique sécurité #162,4,5,1,2,3,3
Humain,Opérateur SOC #163,5,1,5,4,3,1
Organisationnel,Politique sécurité #164,4,3,4,5,5,5
Technologique,Serveur territorial #165,4,2,1,4,5,3
Organisationnel,Plan de réponse incident #166,4,4,5,5,2,2
Informationnel,Logs sécuritaires #167,5,3,2,4,2,3
Humain,Agent territorial #168,5,5,5,3,1,2
Informationnel,Archives numériques #169,4,4,2,3,4,1
Technologique,Poste critique #170,5,3,1,3,3,1
Technologique,Serveur central #171,5,2,5,2,1,3
Technologique,Réseau LAN #172,3,2,5,2,2,5
Humain,Administrateur réseau #173,5,5,2,5,1,2
Informationnel,Logs sécuritaires #174,2,2,4,4,5,2
Technologique,Application métier #175,4,1,3,5,2,4
Informationnel,Base données identité #176,2,2,5,2,2,5
Organisationnel,Politique sécurité #177,3,2,4,3,3,1
Humain,Opérateur SOC #178,5,3,2,2,5,3
Organisationnel,Processus décisionnel #179,5,4,1,4,3,2
Humain,Opérateur SOC #180,5,1,2,5,4,3
Humain,Agent territorial #181,4,1,3,2,3,2
Informationnel,Base état civil #182,3,5,1,2,1,1
Informationnel,Logs sécuritaires #183,4,2,1,4,3,3
Technologique,Application métier #184,5,4,3,3,2,4
Humain,Opérateur SOC #185,5,3,3,2,5,1
Technologique,Serveur central #186,4,1,4,3,3,5
Informationnel,Logs sécuritaires #187,3,1,2,2,4,3
Technologique,Serveur central #188,2,2,2,5,1,2
Informationnel,Base état civil #189,4,5,1,4,2,3
Humain,Opérateur SOC #190,3,4,3,3,3,2
Humain,Administrateur système #191,3,3,4,5,5,2
Humain,Opérateur SOC #192,4,2,4,4,1,4
Informationnel,Base données identité #193,2,2,1,5,5,2
Organisationnel,Politique sécurité #194,4,3,2,3,3,5
Informationnel,Base état civil #195,5,3,3,4,4,5
Technologique,Serveur central #196,2,5,4,2,4,1
Technologique,Poste critique #197,2,4,5,2,1,3
Informationnel,Base état civil #198,5,2,5,2,1,5
Technologique,Serveur central #199,4,1,1,5,4,4
Humain,Administrateur réseau #200,2,5,5,4,4,3
Technologique,Application métier #201,3,1,4,5,3,4
